No.,Lims No.,物质名称(英文),物质名称(中文),列入日期,EC 号码,CAS 号码,可能用途,Possible Applications,Natural textiles,Synthetic textiles,Leather,Metal,Plastic|polymers|foam,Wood,Paper,Ceramic,Glass,Dye|Pigment|Ink|Paint,Adhesives|Sealants,Battery,Electronic components,*Remarks,Organic|Inorganic,Chemical Classification
110,110,Lead dinitrate,硝酸铅,12/19/2012,233-245-9,10099-74-8,用作染料工业中的氧化剂; 用于在纸上的涂层(用于光热照相); 用作尼龙的热稳定剂; 用作聚酯的酯化催化剂; 用作染色及印刷纺织品的酶染剂; 用于制造火柴和特殊炸药,"Used as an oxidizer in dye industry, a coating on paper for photothermography, a heat stabiliser in nylon, an esterification catalyst for polyesters, a mordant in dyeing and printing on textiles and used in manufacturing matches and special explosives.
",Y,Y,N,N,Y,N,Y*,N,N,Y,N,N,N,Coating on paper for photography,Inorganic,Pb compounds
111,111,Lead monoxide (Lead oxide),一氧化铅(黄丹),12/19/2012,215-267-0,1317-36-8,"用于车用铅基电池; 用于清漆; 用于喷涂瓷器、玻璃、铅玻璃和餐具的釉;
用作橡胶的颜料，用作橡胶和塑料的硫化剂; 用于着色含硫物质，例如，毛发、指甲、羊毛、角; 用于电容器、电子板、换能器、铁磁与铁磁材料的生产","Used in lead-based battery for automotive vehicles, used in varnishes, glass flux for painting on porcelain and glass, lead glass, glazing of fine tableware
Used as pigment for rubber, rubber and plastics as a vulcanizing agent, colouring sulfur-containing substances, e.g., hair, nails, wool, horn. It is also used in the production of capacitors, electrophotographic plates, transducers, and ferrimagnetic and ferromagnetic materials.",Y,N,N,N,Y,N,N,Y,Y,Y,N,Y,Y,,Inorganic,Pb compounds
112,112,Orange lead (Lead tetroxide),四氧化三铅 ,12/19/2012,215-235-6,1314-41-6,用于车用铅基电池， 彩色电视显像管的密封玻璃; 用于制造无色玻璃; 用作瓷板画助熔剂; 用于钢铁防护漆， 船舶油漆和清漆; 用于聚酯轮胎帘线的粘合剂; 用于着色橡胶和硫化聚酯橡胶橡胶; 在过去用作防腐漆的颜料，用在钢表面（如桥梁和混凝土的增强材料）,"Used in lead-based battery for automotive vehicles, in sealing glasses for colour television picture tubes, manufacturing colourless glass. It is used as flux for porcelain painting, protective paint for iron and steel; oil-colour for ship paints, varnishes, adhesives for polyester tire cords, colouring rubber and vulcanization of polyester rubbers rubber. It was  used as a pigment in anticorrosion paints for steel surfaces such as bridges and reinforcements of concrete in the past. ",N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,,Inorganic,Pb compounds
113,113,Lead titanium trioxide,钛酸铅,12/19/2012,235-038-9,12060-00-3,用于生产电脑、电子及光学产品、电子设备,"Manufacture of computers, electronic and optical products, electrical equipment.",N,N,N,N,N,N,N,N,N,N,N,N,Y,,Inorganic,"Pb, Ti"
114,114,Lead Titanium Zirconium Oxide,钛酸铅锆,12/19/2012,235-727-4,12626-81-2,"用于制造机电元件,电子陶瓷元件, 压电陶瓷","Manufacture electromechanical components, electro-ceramic components,  piezoceramic.",N,N,N,N,N,N,N,N,N,N,N,N,Y,,Inorganic,"Pb, Ti, Zr"
115,115,Pentalead tetraoxide sulphate,氧化铅与硫酸铅的复合物,12/19/2012,235-067-7,12065-90-6,用于车用铅基电池和PVC稳定剂,Used in lead-based battery for automotive vehicles and stabilisers in PVC production,N,N,N,N,Y,N,N,N,N,N,N,Y,N,,Inorganic,"Pb, S"
116,116,"Pyrochlore, antimony lead yellow",颜料黄41,12/19/2012,232-382-1,8012-00-8,用于烧绿石的生产;作为着色剂于陶瓷/玻璃制品装饰,Manufacture of pyrochlore. As colouring agent/pigment in inks and glazings for decoration of ceramic/glass articles ,N,N,N,N,N,N,N,Y*,Y*,Y,N,N,N,Colouring agent and pigment in ceramic/glass articles,Inorganic,"Pb, Sb"
117,117,"Silicic acid (H2Si2O5), barium salt (1:1), lead-doped
[with lead (Pb) content above the applicable generic concentration limit for 'toxicity for reproduction' Repr. 1A (CLP) or category 1 (DSD); the substance is a member of the group entry of lead compounds, with index number 082-001-00-6 in Regulation (EC) No 1272/2008]
",掺有铅的硅酸钡铅含量超出CLP指令表述的致生殖毒性1A、DSD指令致生殖毒性1类的通用限制浓度限值；(EC) No 1272/2008 下指引号为082-001-00-6的一组含铅化合物）,12/19/2012,272-271-5,68784-75-8,用于镀膜玻璃灯泡,Used for coating glass lamp bulbs.,N,N,N,N,N,N,N,N,Y*,N,N,N,N,Coating on glass lamp bulbs,Inorganic,"Pb, Ba, Si"
118,118,"Silicic acid, lead salt",硅酸铅,12/19/2012,234-363-3,11120-22-2,用于生产铅晶,Manufacture of Lead crystal ware.,N,N,N,N,N,N,N,N,Y,N,N,N,N,,Inorganic,"Pb, Si"
119,119,"Sulfurous acid, lead salt, dibasic",亚硫酸铅（II）,12/19/2012,263-467-1,62229-08-7,用于PVC加工; 用于铅稳定剂的塑料材料(作为建筑的内部结构组件),Used in PVC processing and used in lead-stabilised plastic materials in internal parts of building.,N,N,N,N,Y,N,N,N,N,N,N,N,N,,Inorganic,"Pb, S"
120,120,Tetraethyllead,四乙基铅,12/19/2012,201-075-4,78-00-2,用作汽油的抗爆添加剂; 用于制造其他金属烷基，如乙基汞化合物和化学中间体(用于混合烷基作汽油添加剂),"Anti-knock additive for gasoline. It is used to make other metal alkyls, such as ethylmercury compounds and chemical intermediate for mixed alkyl leads for gasoline additive.
",N,N,N,N,N,N,N,N,N,N,N,N,N,,Inorganic,Pb compounds
121,121,Tetralead trioxide sulphate,三盐基硫酸铅,12/19/2012,235-380-9,12202-17-4,用于车用铅基电池; 用于PVC加工; 用于铅稳定剂的塑料材料(作为建筑的内部结构组件),"Used in lead-based battery for automotive vehicles, used in PVC processing and used in lead-stabilised plastic materials in integral parts of building.",N,N,N,N,Y,N,N,N,N,N,N,Y,N,,Inorganic,"Pb, S"
122,122,Trilead dioxide phosphonate,磷酸氧化铅,12/19/2012,235-252-2,12141-20-7,用于电线、电缆、外部结构、水管、百叶窗、保护管、和在电缆和煤气管型材的塑料当中; 用于PVC加工; 用于铅稳定剂的塑料材料(作为建筑的内部结构组件) ,"Used in plastics for wires, cables, exterior construction, water pipes, mini-blinds, protection pipes and in profiles for cables and gas pipes. Used in PVC processing and used in lead-stabilised plastic materials in internal parts of building.",N,N,N,N,Y,N,N,N,N,N,N,N,N,,Inorganic,"Pb, P"
123,123,Furan,呋喃,12/19/2012,203-727-3,110-00-9,主要用作合成四氢呋喃和生产其他有机化合物的中间体; 用于农业化学品、杀虫剂、稳定剂、医药品 ,"mainly used as an intermediate in synthesis of tetrahydrofuran and production of other organic compounds. Agricultural chemicals, insecticides, stabilisers, pharmaceuticals",N,N,N,N,N,N,N,N,N,N,N,N,N,,Organic,Furan
124,124,Methyloxirane (Propylene oxide),环氧丙烷,12/19/2012,200-879-2,75-56-9,用于生产聚合物，表面活性剂，染色助剂，化妆品，个人护理产品；用于粘合剂，密封剂，涂料，油漆，稀释剂，脱漆剂，防冻剂和除冰产品，填料，腻子，石膏，粘土，指画颜料，润滑剂，抛光剂和混合蜡；燃料；原油破乳剂,"Production of polymers, surfactants, dyeing auxiliary, cosmetics, personal care products. It is also used in adhesives, sealants, coatings and paints, thinners, paint removes, Anti-freeze and de-icing products, Fillers, putties, plasters, modelling clay , Finger paints, Lubricants, Polishes and wax blends,  a fuel, oil demulsifiers. ",Y,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,,Organic,Oxirane
125,125,Diethyl sulphate,硫酸二乙酯,12/19/2012,200-589-6,64-67-5,用于染料和颜料; 用作无碳复写纸的染料集剂; 用作纺织品的整理剂; 用作合成酚类，胺类和硫醇的化学中间体（乙基化剂）; 作为在乙烯的硫酸化的促进剂; 用于磺化过程,"Used in dyes and pigment, dye-set agent in Carbon less paper , finishing agent in textiles, chemical intermediate (ethylating agent) in synthesis of ethyl derivatives of phenols, amines, and thiols; as an accelerator in the sulfation of ethylene; and in some sulfonation processes.",Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,,Organic,S compounds
126,126,Dimethyl sulphate,硫酸二甲酯,12/19/2012,201-058-1,77-78-1,用作香水生产的助剂; 用于聚氨酯类胶黏剂; 用作染料中芳香胺的生产中的助剂,"Used as methylating or sulfating agent in the manufacture of perfumes, polyurethane-based adhesives, methylating or sulfating agent in the manufacture of amines in dye.",N,N,N,N,N,N,N,N,N,N,N,N,N,,Organic,S compounds
127,127,"3-ethyl-2-methyl-2-(3-methylbutyl)-1,3-oxazolidine","3-乙基-2-甲基-2-(3-甲基丁基)-1,3-恶唑烷",12/19/2012,421-150-7,143860-04-2,用作高固含量聚氨酯涂料的反应性稀释剂和水清除剂,Used as a reactive diluent and water scavenger in high-solids polyurethane coatings.,N,N,N,N,N,N,N,N,N,N,N,N,N,,Organic,Oxazolidine
128,128,"Dinoseb (6-sec-butyl-2,4-dinitrophenol)",地乐酚,12/19/2012,201-861-7,88-85-7,作中间体合成化学物质。以前用作除草剂和杀虫剂,Intermediate in synthesis of chemicals. Previously used as herbicide and insecticide.,N,N,N,N,N,N,N,N,N,N,N,N,N,,Organic,Benzene Derivatives
129,129,"4,4'-methylenedi-o-toluidine","4,4'-二氨基-3,3'-二甲基二苯甲烷",12/19/2012,212-658-8,838-88-0,染料; 被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料,"A dye or colourants. This amine is restricted under REACH Annex XVII, entry 43 for textiles and leather.",Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,,Organic,Aromatic amines
130,130,"4,4'-oxydianiline and its salts","4,4'-二氨基二苯醚",12/19/2012,202-977-0,101-80-4,用作生产聚酰亚胺和聚酯酰亚胺树脂的染料中间体，用作着色剂; 被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料,"Chemical intermediate for polyimide and polyester-imide resins and used as colourants. It is restricted under REACH Annex XVII, entry 43 for textiles and leather.",Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,,Organic,Aromatic amines
131,131,4-Aminoazobenzene,4-氨基偶氮苯,12/19/2012,200-453-6,60-09-3,制造染料，包括碱性桔橙染料、对氮蒽蓝、纯黄色和酸黄色; 用作涂料、漆、蜡制品、油渍和苯乙烯树脂的染料; 被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料,"Manufacturing of dyes including chrysoidine, induline, solid yellow, and acid yellow. Use as dyes for lacquers, varnishes, wax products, oil stains and styrene resins. It is  restricted under REACH Annex XVII, entry 43 for textiles and leather.",Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,,Organic,Aromatic amines
132,132,"4-methyl-m-phenylenediamine (toluene-2,4-diamine)","2,4-二氨基甲苯",12/19/2012,202-453-1,95-80-7,用作抗酸染料、偶氮颜料染料、三芳基甲烷染料、硫化染料、靛蓝化合物、织物印花染料; 作为合成橡胶和橡胶硫化化学物质、橡胶抗氧化剂的中间体; 被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料,"Used as acid-fast dyestuffs, azo pigment dyes, triarylmethane dyes, sulfur dyes, and indigo compounds, textile printing dyes. It is used as an intermediate for synthetic rubber and rubber vulcanizing chemicals, antioxidant in rubber.  This amine is restricted under REACH Annex XVII, entry 43 for textiles and leather.",Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,,Organic,Aromatic amines
133,133,6-methoxy-m-toluidine (p-cresidine),2-甲氧基-5-甲基苯胺,12/19/2012,204-419-1,120-71-8,制造染料(如FD＆C红色40和直接紫9); 被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料,"As a chemical for manufacturing of dyes such as FD&C Red 40 and Direct Violet 9. It is  restricted under REACH Annex XVII, entry 43 for textiles and leather.",Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,,Organic,Aromatic amines
134,134,Biphenyl-4-ylamine,4-氨基联苯,12/19/2012,202-177-1,92-67-1,用于硫酸盐的检测; 以前还用作染料中间体;被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料,"It is used in detection of sulfates and it former use is chemical intermediate for dyes. This amine is restricted under REACH Annex XVII, entry 43 for textiles and leather.",Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,,Organic,Aromatic amines
135,135,o-aminoazotoluene,邻氨基偶氮甲苯,12/19/2012,202-591-2,97-56-3,用于制造染料; 被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料,"Used in manufacturing of dyes and restricted under REACH Annex XVII, entry 43 for textiles and leather. ",Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,,Organic,Aromatic amines
136,136,o-Toluidine,邻甲基苯胺,12/19/2012,202-429-0,95-53-4,用作制造染料、颜料、医药和杀虫剂的中间体; 用作纺织印染染料; 其他用途是用作有机合成的中间体和作为临床实验室葡萄糖分析试剂的成分;被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料,"As an intermediates in the manufacture of many dyes and pigments, pharmaceuticals, and pesticides It is also used in  textile printing dyes. Other minor uses of o-toluidine and its hydrochloride salt are as an intermediate in organic synthesis and as an ingredient in a clinical laboratory reagent for glucose analysis.
It is also restricted under REACH Annex XVII, entry 43 for textile and leather.",Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,,Organic,Aromatic amines
137,137,N-methylacetamide,N-甲基乙酰胺 ,12/19/2012,201-182-6,79-16-3,用于化学品的生产；用作实验室用化学品,"Production of chemicals, used as laboratory chemicals.",N,N,N,N,N,N,N,N,N,N,N,N,N,,Organic,Amide
138,138,1-bromopropane (n-propyl bromide),溴代丙烷,12/19/2012,203-445-0,106-94-5,用作工业清洗的溶剂（脱脂、金属加工、电子、航空航天）；用于气雾剂，粘合剂，油墨和涂料；用于合成香精香料,"Used as solvent for industrial cleaning (degreasing, metal processing and finishing, electronics, aerospace and aviation), aerosols, adhesives , inks and coatings , synthesize flavors and fragrances.",Y,Y,Y,N,Y,N,N,N,N,N,Y,N,N,,Organic,Halogenated hydrocarbons 
139,139,Cadmium,镉,6/20/2013,231-152-8,7440-43-9,它主要用作镍镉电池的电极; 用于金属涂层和合金; 其化合物在制造塑料制品或聚合物例如用于PVC,It is mainly used as electrodes in Ni-Cd Battery.  It is used in metal coatings and alloys. Its compounds are used in manufacturing of plastic products or polymers e.g. PVC.,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,,Inorganic,Cd
140,140,Cadmium oxide,氧化镉,6/20/2013,215-146-2,1306-19-0,作为镍镉电池的电极; 用于金属涂层、合金、玻璃、陶瓷玻璃、耐热瓷漆、耐热性聚合物(如聚四氟乙烯)、生产聚合物、塑料制品、催化剂、实验室试剂,"It is used as a raw material in Ni-Cd battery electrodes. This substances is also used in metal coatings, alloys, glass, ceramic glass, heat-resistant enamels , heat resistance polymer e.g. Teflon, production of polymer-matrices, plastics articles, catalyst, a laboratory reagent.",N,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y,,Inorganic,Cd compounds
141,141,Dipentyl phthalate (DPP),邻苯二甲酸二戊酯,6/20/2013,205-017-9,131-18-0,PVC增塑剂,Used as plasticisers in PVC.,N,N,N,N,Y,N,N,N,N,N,N,N,N,,Organic,Phthalates
142,142,"4-Nonylphenol, branched and linear, ethoxylated [substances with a linear and/or branched alkyl chain with a carbon number of 9 covalently bound in position 4 to phenol, ethoxylated covering  UVCB- and well-defined substances, polymers and homologues, which include any of the individual isomers and/or combinations thereof]",分支或线性的壬基酚聚醚，含有线性或分支、共价绑定苯酚聚醚的9个碳烷基链的物质，包括界定明确的物质以及UVCB物质、聚合物和同系物,6/20/2013,-,-,用在生产涂料、润滑剂、清漆、密封剂、清洗剂和粘合剂; 用于纸、纺织和皮革加工; ; 为助熔剂用于印刷电子电路板（PCB)。用作乳化剂于生产聚合物(用在涂料，油漆和粘合剂)。,"It is used in formulation of paints, lubricants, varnishes, sealants, cleaning agent and adhesive. It is also used in paper, textiles and leather processing. It can also be used as flux for electronics printed circuit boards (PCB). Used as emulsifier in manufacture of polymers, which are used in coatings, paints and adhesives.",Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,,Organic,Alkylphenol ethoxylates
143,143,Ammonium pentadecafluorooctanoate (APFO),全氟辛酸铵,6/20/2013,223-320-4,3825-26-1,它主要用作含氟聚合物和氟橡胶的加工助剂（如聚四氟乙烯）; 用作地毯、家具和衣物的防水防油剂; 用于灭火的泡沫、食品包装、摄影行业和半导体行业; 用于造纸和纸包装。用于油漆,"It is mainly used as processing aid in fluoropolymers and fluoroelastomers e.g. Telfon. Water, oil and grease repellent treatments for carpets, furniture and clothing. It is also used in fire fighting foam, food packaging, photographic industry and semi conductor industry. Used in paper and paper packaging. Used in paint.",Y*,Y*,Y*,N,Y,N,Y,N,N,Y,N,N,Y,Textiles and leather: only applicable to those with water/oil/stain repellent finishing,Organic,Perfluorinated compounds
144,144,Pentadecafluorooctanoic acid (PFOA),全氟辛酸,6/20/2013,206-397-9,335-67-1,用作地毯、家具和衣物的防水防油剂; 用于聚四氟乙烯和食品包装；用于灭火的泡沫、摄影行业和半导体行业; 用于造纸和纸包装。用于油漆,"Water, oil and grease repellent treatments for carpets, furniture and clothing. It can also be found in Teflon products and food packaging. It is also used in fire fighting foam, photographic industry and semi conductor industry. Used in paper and paper packaging. Used in paint.
",Y*,Y*,Y*,N,Y,N,Y,N,N,Y,N,N,Y,Textiles and leather: only applicable to those with water/oil/stain repellent finishing,Organic,Perfluorinated compounds
145,145,Cadmium sulphide,硫化镉,12/16/2013,215-147-8,1306-23-6,"用作塑料,玻璃和陶瓷中作為的颜料、也可用于着色合成纺织品玻璃添加剂和光电子应用材料（例如，太阳能电池)","It is used as a pigment in plastic, glass and ceramic. It can be used to colour synthetic textiles. An Additive for production of glass and ingredients of photo-electronic applications (e.g. solar cells).",N,Y,N,N,Y,N,N,Y,N,Y,N,N,Y,,Inorganic,"Cd, S"
146,146,"Disodium 3,3'-[[1,1'-biphenyl]-4,4'-diylbis(azo)]bis(4-aminonaphthalene-1-sulphonate)(C.I. Direct Red 28)",直接红28,12/16/2013,209-358-4,573-58-0,用作纺织品，丝绸，皮革，塑料，纸张当中的染料和pH指示剂,"It is used as a dye for textiles (e.g. wool, silk, leather), plastic, paper and a pH indicator.",Y,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,,Organic,Azo compounds
147,147,"Disodium 4-amino-3-[[4'-[(2,4-diaminophenyl)azo][1,1'-biphenyl]-4-yl]azo] -5-hydroxy-6-(phenylazo)naphthalene-2,7-disulphonate (C.I. Direct Black 38)",直接黑38,12/16/2013,217-710-3,1937-37-7,用作纺织品，丝绸，皮革，塑料，木材，纸张当中的染料和生产水性墨水。,"It is used as a dye for textiles (e.g. wool, silk, leather), plastic, wood, paper and production of aqueous ink.",Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,,Organic,Azo compounds
148,148,Dihexyl phthalate,邻苯二甲酸二己酯,12/16/2013,201-559-5,84-75-3,PVC增塑剂,"It is used as plasticisers in PVC such as toys, gloves, footwear.",N,Y*,N,N,Y,N,N,N,N,N,N,N,N,May be found in textiles with plastisol print  and synthetic leather.,Organic,Phthalates
149,149,Imidazolidine-2-thione (2-imidazoline-2-thiol),"1,2-亚乙基硫脲",12/16/2013,202-506-9,96-45-7,作为硫化聚氯丁二烯（氯丁橡胶）和聚丙烯酸酯橡胶的促进剂,It is used as an accelerator for vulcanizing polychloroprene (neoprene) and polyacrylate rubbers.,N,N,N,N,Y,N,N,N,N,N,N,N,N,,Organic,Imidazoles
150,150,Lead di(acetate),醋酸铅,12/16/2013,206-104-4,301-04-2,作为实验室化学品;在涂料和油漆，涂料，脱漆剂 ,"As a laboratory chemical; used in coatings and paints, thinners, paint remover",N,N,N,N,N,N,N,N,N,Y,N,N,N,,Inorganic,Pb compounds
151,151,Trixylyl phosphate,磷酸二甲酚酯,12/16/2013,246-677-8,25155-23-1,"用于纺织品, 塑料的阻燃剂和功能流体(如润滑剂，金属加工液)",It is used as flame retardants in textile plastic and functional fluid such as lubricants metal working fluid.,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,,Organic,Organophosphate compounds
152,152,"1,2-Benzenedicarboxylic acid, dihexyl ester, branched and linear",邻苯二甲酸二己酯支链与直链,6/16/2014,271-093-5,68515-50-4,用作聚合物的增塑剂，绝缘体，密封材料，机油稳定剂，机动车齿轮的润滑剂,"It is used as plasticisers in polymers, insulating, sealing material, motor oil stabiliser, gear lubricants for motor vehicles.",N,N,N,N,Y,N,N,N,N,N,Y,N,N,,Organic,Phthalates
153,153,Cadmium chloride,氯化镉,6/16/2014,233-296-7,10108-64-2,用作合成其它镉化合物的原材料; 作为中间体用于生产无机颜料和稳定剂; 用于金属涂层的电镀和电镀锌浴; ,It is used as raw materials for synthesis of other cadmium compounds. As intermediate of  production of inorganic pigments and stabilisers. It is also used in electroplating and electrogalvanizing baths for metal coating. ,N,N,N,Y,N,N,N,N,N,Y,N,N,N,,Inorganic,"Cd, Cl"
154,154,"Sodium perborate; perboric acid, sodium salt","过硼酸钠;过硼酸,钠盐",6/16/2014,239-172-9; 234-390-0, - ,用作洗衣清洁剂和机器洗碗产品中的漂白剂,It is used as a bleaching agent in laundry detergents and machine dishwashing products.,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,Inorganic,"B, Na"
155,155,Sodium peroxometaborate,过硼酸钠,6/16/2014,231-556-4,4/4/7632,用作洗衣清洁剂和机器洗碗产品中的漂白剂,It is used as a bleaching agent in laundry detergents and machine dishwashing products.,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,Inorganic,"B, Na"
156,156,Cadmium fluoride,氟化镉,12/17/2014,232-222-0,7790-79-6,用于研究的化学品; 用于发光屏幕; 用于制造玻璃; 电动刷;控制核反应堆; 用作高温干膜的润滑剂; 光学应用;用作激光晶体的原材料; 以前用作铝及其合金焊接助熔剂。,"Used as research chemicals. Used in phosphorus for luminescent screens. Manufacturing of glass, electric brushes, in nuclear reactor control, high-temperature dry-film lubricant, optical applications, starting material for crystals for lacer. Previously used as a fluxing agent in soldering of aluminium and its alloys.",N,N,N,N,N,N,N,N,Y,N,N,N,Y,,Inorganic,"Cd, F"
157,157,Cadmium sulphate,硫酸镉,12/17/2014,233-331-6,"10124-36-4, 31119-53-6",作为中间体用于生产无机镉化合物和用作实验室试剂; 用作金属表面涂层的原料和用于恢复铅酸电池; 其他用途包括用作电镀的电解质，荧光粉，杀线虫剂，航空应用中的干膜润滑剂; 皮革染色剂,"As an intermediate for the production of inorganic cadmium compounds and used as a laboratory reagent.  Used as a raw material for metal surface coating and for restoring of lead acid batteries. Other uses include electrolytes in electroplating, phosphors, nematocides, dry-film lubricant for aeronautic applications. Colouring agent used in leather finishing ",N,N,Y,Y,N,N,N,N,N,Y,N,Y,N,,Inorganic,"Cd, S"
158,158,"2-benzotriazol-2-yl-4,6-di-tert-butylphenol (UV-320)",紫外吸收剂 UV-320,12/17/2014,223-346-6,3846-71-7,于汽车和特殊工业木材中用作涂层的紫外线保护剂; 塑料、橡胶、聚氨酯、带涂层的纺织品和化妆品中的紫外线保护剂,"Used as UV-protection agents and UV-stabilisers in car and special industrial wood coating, plastics, rubber and polyurethanes. Used in cosmetics (e.g. as sun protection agents).",N,N,N,N,Y,N,N,N,N,N,N,N,N,,Organic,Phenolic benzotriazoles
159,159,"2-(2H-benzotriazol-2-yl)-4,6-ditertpentylphenol (UV-328)",紫外吸收剂 UV-328,12/17/2014,247-384-8,25973-55-1,于汽车和特殊工业木材中用作涂层的紫外线保护剂; 塑料、橡胶、聚氨酯、化妆品中的紫外线保护剂  用于塑料和树脂的光稳定剂，如丙烯，PVC，不饱和聚酯，聚丙烯酸酯，聚碳酸酯，ABS树脂，环氧树脂，纤维树脂等; 用于粘合剂,"Used as UV-protection agents in car and special industrial wood coating, plastics, rubber, polyurethanes. Used for light stabilising in plastic and resin e.g. propylene, PVC, unsaturated polyester, polyacrylate, polycarbonate, ABS resin, epoxy resin, fiber resin.etc. Used in adhesives. Used in cosmetics (e.g. as sun protection agents).",N,N,N,N,Y,N,N,N,N,N,Y,N,N,,Organic,Phenolic benzotriazoles
160,160,"2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate (DOTE)",二正辛基-双（巯乙酸2-乙基己酯）锡,12/17/2014,239-622-4,15571-58-1,PVC稳定剂,Used as a stabiliser for PVC processing.,N,N,N,N,Y,N,N,N,N,N,N,N,N,,Organic,Organotin compounds
161,161,"Reaction mass of 2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate and 2-ethylhexyl 10-ethyl-4-[[2-[(2-ethylhexyl)oxy]-2-oxoethyl]thio]-4-octyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate (reaction mass of DOTE and MOTE)",二正辛基-双（巯乙酸2-乙基己酯）锡（DOTE）和三（2-乙基己基巯基乙酸）辛锡（MOTE）的反应产物,12/17/2014,-,-,PVC热稳定剂,"Used as a heat stabiliser in the production of PVC.
",N,N,N,N,Y,N,N,N,N,N,N,N,N,,Organic,Organotin compounds
162,162,"1,2-benzenedicarboxylic acid, di-C6-10-alkyl esters; 1,2-benzenedicarboxylic acid, mixed decyl and hexyl and octyl diesters with ≥ 0.3% of dihexyl phthalate (EC No. 201-559-5)",鄰苯二甲酸二（C6-C6）烷基酯：(癸基，己基，辛基)酯與1，2-鄰苯二甲酸的複合物且鄰苯二甲酸二己酯含量≥ 0.3%,6/15/2015,271-094-0; 272-013-1,68515-51-5; 68648-93-1 ,用于制造物质和PVC化合物。用于涂料，美术用品，建筑材料，润滑剂和粘合剂。用于胶粘剂的聚氨酯产品和挡风玻璃密封胶,"Used in manufacture of substances and PVC compounds. Used in coatings, artist supply, building material, lubricants and adhesives. Used in polyurethane product intended for adhesives and sealants for windshields
",N,N,N,N,Y,N,N,N,N,N,Y,N,N,,Organic,Phthalates
163,163,"5-sec-butyl-2-(2,4-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-
dioxane [1], 5-sec-butyl-2-(4,6-dimethylcyclohex-3-en-1-yl)-
5-methyl-1,3-dioxane [2] [covering any of the individual
isomers of [1] and [2] or any combination thereof]","[1]為卡拉花醛，[2]為卡拉花醛的一種同分異構化合物, (卡拉花醛及其同分异构体，还包括卡拉花醛和其同分异构体的任意组合）",6/15/2015,-,-,用作香氛,Used as fragrance,N,N,N,N,N,N,N,N,N,N,N,N,N,,Organic,Dioxane compounds
164,164,Nitrobenzene,硝基苯,12/18/2015,202-716-0,98-95-3,"主要用于生产其他的化学物质;
存在于印刷产业的复印试剂;
用于制剂的制备，用作加工助剂及溶剂。","Mainly used for the production of other substances;
Present in reprographic agents in the printing industry;
Used for the preparation of formulations, use as processing aids and use as solvents.
",N,N,N,N,N,N,N,N,N,Y,N,N,N,,Organic,Benzene derivatives
